eDepth [mm]	e1 [um/m]	e2 [um/m]	e3 [um/m]	Defpth [mm]	Smin [MPa]	Smax [MPa]	beta [°]	Von Mises [MPa]
0.050	-7.7	-7.3	-4.6	0.025	21.1	66.9	2.7	59.3
0.100	-11.2	-5.3	2.7	0.075	-8.6	55.9	-7.6	60.7
0.150	-26.9	-7.4	2.5	0.125	0.1	65.7	-12.6	65.6
0.200	-32.8	-9.6	1.9	0.175	8.4	44.0	-15.3	40.4
0.250	-36.0	-12.8	0.6	0.225	12.8	16.7	-14.3	15.2
0.300	-39.3	-15.2	-1.4	0.275	3.8	12.2	64.2	10.8
0.350	-42.8	-16.9	-1.1	0.325	-2.0	3.8	45.1	5.1
0.400	-44.8	-17.6	-0.2	0.375	-7.2	-2.5	-1.2	6.3
0.450	-46.6	-16.1	1.0	0.425	-7.9	-0.2	-26.1	7.8
0.500	-48.3	-17.1	0.1	0.475	-0.1	7.2	-34.0	7.2
0.550	-51.0	-18.2	0.3	0.525	7.2	12.5	-25.8	10.9
0.600	-53.6	-20.0	-1.3	0.575	8.0	12.7	-3.1	11.1
0.650	-55.7	-19.5	0.1	0.625	0.5	8.0	18.7	7.7
0.700	-57.1	-21.8	-0.1	0.675	-4.1	6.8	33.9	9.5
0.750	-57.0	-22.4	-0.2	0.725	-1.6	10.5	37.8	11.4
0.800	-60.1	-23.7	-0.0	0.775	6.2	16.8	34.1	14.7
0.850	-62.1	-25.2	-1.3	0.825	11.5	17.1	33.2	15.1
0.900	-62.4	-27.0	-1.5	0.875	10.1	14.8	-40.5	13.1
0.950	-62.9	-25.2	-1.2	0.925	1.5	22.8	-42.4	22.1
1.000	-65.2	-24.8	-2.0	0.975	-5.4	35.0	-41.5	37.9
